A'maelamin,,/home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/p#corlt.tra@688; /home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/p#corlt.tra@1613,NP:BG1NPC
Aabir,Аабир,,BG2EE-russian
Aasim,Аасим,,BG1RUS-EET
Aasimar,аасимар,,sod_rus
Aataqah,Аатага,,BG2EE-russian
Aawill,Аавилл,,BG2EE-russian
Abazigal,Абазигал,,BG2EE-russian
Abbathor,Аббатор,,sod_rus
Abdar,Абдар,,BG2EE-russian
Abdoshanheth,Абдошанхет,,iwd2_rus
Abeir,Абейр,,BG1RUS-EET
Abela,Абела,,BG1RUS-EET
Abi-Dalzim's Horrid Wilting,Жуткое увядание Аби-Далзима,,BG1RUS-EET
Abishai,Абишай,,sod_rus
Abjuration,Отречение,,BG1RUS-EET
Abjurer,отрицатель,,BG1RUS-EET
Aboleth,Аболет,,BG2EE-russian
Abominably,,/home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#xzar.tra@9,NP:BG1NPC
Absotively,,/home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#xzqu.tra@26,NP:BG1NPC
Accalia,Аккалия,,iwd2_rus
Acchh,,/home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#tiax.tra@121,NP:BG1NPC
Achen,Акен,,BG1RUS-EET
Acheron,Ахерон,,iwd2_rus
Achmed,Ахмед,,BG2EE-russian
Achon,Акон,,BG2EE-russian
Achoo,,/home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#pcinit_tmp.tra@3807; /home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#pcinit_tmp.tra@3814,NP:BG1NPC
Adalon,Адалон,,BG2EE-russian
Adamantine,адамантин,,sod_rus
Adamantite,адамантит,,BG2EE-russian
Adbar,Адбар,,BG1RUS-EET
Adecan,Адекан,,BG2EE-russian
Adelain,Аделайн,,BG2EE-russian
Adirran,Адирран,,sod_rus
Adjatha,Аджата,,BG2EE-russian
Adon,,/home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#dyro.tra@753; /home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#dyro.tra@755; /home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#dyro.tra@760; /home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#dyro.tra@761; /home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#dyro.tra@767; /home/paladin/source/translations/BG1NPC/bg1npc/tra/english/utf8/x#dyro.tra@768,NP:BG1NPC
Adoy,Адой,,BG1RUS-EET
Adran,Адран,,iwd2_rus
Adras,Адрас,,sod_rus
Adratha,Адрата,,BG2EE-russian
Adron,Адрон,,iwd2_rus
Adsaan,Адсаан,,BG2EE-russian
Adson,Адсон,,iwd2_rus
Aduo,Адуо,,BG2EE-russian
Aec'Letec,Аэк'Летек,,BG1RUS-EET
Aeger,Эгер,,BG2EE-russian
Aegerr,Аэджер,,iwd2_rus
Aegisfield,Эгисфилд,,BG2EE-russian
Aehirglass,Эгиргласс,,IWDEE-russian
